5.096903064240756009e+01,4.795866119698290220e+01,4.494822225943779159e+01,4.193764432764385219e+01,3.892678836731373337e+01,3.591537618970131973e+01,3.290285093623755586e+01,2.988809696234275393e+01,2.686887524393341664e+01,2.384067659054309374e+01,2.079435640948135244e+01,1.771110717036637894e+01,1.455112639987338241e+01,1.122503861362187649e+01,7.504616868802180818e+00,2.588041848351751106e+00
4.795866119698290220e+01,4.494822225943779159e+01,4.193764432764385219e+01,3.892678836731373337e+01,3.591537618970131973e+01,3.290285093623755586e+01,2.988809696234275393e+01,2.686887524393341664e+01,2.384067659054309374e+01,2.079435640948135244e+01,1.771110717036637894e+01,1.455112639987338241e+01,1.122503861362187649e+01,7.504616868802180818e+00,2.588041848351751106e+00,-1.033148167736275269e+01
4.619767911652939318e+01,4.318717068352793120e+01,4.017645374413965698e+01,3.716531970187536871e+01,3.415335109326099428e+01,3.113971190804452505e+01,2.812272578191057448e+01,2.509902252579311011e+01,2.206179123147016696e+01,1.899712234378380060e+01,1.587599898988436387e+01,1.263518949096717492e+01,9.123563131293247253e+00,4.894329352167444469e+00,-2.650950003686629586e+00,-1.376096455590723799e+00
4.494822225943779159e+01,4.193764432764385219e+01,3.892678836731373337e+01,3.591537618970131973e+01,3.290285093623755586e+01,2.988809696234275393e+01,2.686887524393341664e+01,2.384067659054309374e+01,2.079435640948135244e+01,1.771110717036637894e+01,1.455112639987338241e+01,1.122503861362187649e+01,7.504616868802180818e+00,2.588041848351751106e+00,-1.033148167736275269e+01,1.966688584323420530e-01
4.397905263723669123e+01,4.096840520331389968e+01,3.795741020869243698e+01,3.494571984230199035e+01,3.193263773001351424e+01,2.891676810948877119e+01,2.589530735051248200e+01,2.286259937347254123e+01,1.980713351277428558e+01,1.670506768961757516e+01,1.350520578598129973e+01,1.008899444415476232e+01,6.131560914301218190e+00,2.191574665816963252e-01,-3.241107223957882866e+00,9.239095632289675564e-01
4.318717068352793120e+01,4.017645374413965698e+01,3.716531970187536871e+01,3.415335109326099428e+01,3.113971190804452505e+01,2.812272578191057448e+01,2.509902252579311011e+01,2.206179123147016696e+01,1.899712234378380060e+01,1.587599898988436387e+01,1.263518949096717492e+01,9.123563131293247253e+00,4.894329352167444469e+00,-2.650950003686629586e+00,-1.376096455590723799e+00,1.348834960933563476e+00
4.251763329287727800e+01,3.950684684468664898e+01,3.649557374142603550e+01,3.348332683712588675e+01,3.046913036475003977e+01,2.745102687299824140e+01,2.442507765485531834e+01,2.138330898191089346e+01,1.830937915794067194e+01,1.516895248172090049e+01,1.188608367276944833e+01,8.273245510680762749e+00,3.728483296011772641e+00,-7.451450793006653583e+00,-4.091732993305162713e-01,1.628759019046083889e+00
4.193764432764385219e+01,3.892678836731373337e+01,3.591537618970131973e+01,3.290285093623755586e+01,2.988809696234275393e+01,2.686887524393341664e+01,2.384067659054309374e+01,2.079435640948135244e+01,1.771110717036637894e+01,1.455112639987338241e+01,1.122503861362187649e+01,7.504616868802180818e+00,2.588041848351751106e+00,-1.033148167736275269e+01,1.966688584323420530e-01,1.827463363716656186e+00
4.142604960660140279e+01,3.841512413079442467e+01,3.540357286547272508e+01,3.239076920935151804e+01,2.937545751944988837e+01,2.635511671231054365e+01,2.332466514208558195e+01,2.027377925479712317e+01,1.718115154435685810e+01,1.400136078684345975e+01,1.063084349214084057e+01,6.795808746809815837e+00,1.432778011689111342e+00,-5.163000534446976708e+00,6.156160317545986693e-01,1.975960992484570022e+00
4.096840520331389968e+01,3.795741020869243698e+01,3.494571984230199035e+01,3.193263773001351424e+01,2.891676810948877119e+01,2.589530735051248200e+01,2.286259937347254123e+01,1.980713351277428558e+01,1.670506768961757516e+01,1.350520578598129973e+01,1.008899444415476232e+01,6.131560914301218190e+00,2.191574665816963252e-01,-3.241107223957882866e+00,9.239095632289675564e-01,2.091208269785645335e+00
